query,topic
"How do I use a for loop?",tech
"What is a list comprehension?",tech
"Explain Python dictionaries",tech
"What is object-oriented programming?",tech
"How to install pandas",tech
"What is TensorFlow?",tech
"What do ball pythons eat?",biology
"Where do pythons live?",biology
"Are pythons dangerous?",biology
"How big do pythons get?",biology
"What is a python's habitat?",biology
"What family do pythons belong to?",biology
"Who was in the Ministry of Silly Walks?",comedy
"What is the dead parrot sketch?",comedy
"List the members of Monty Python",comedy
"What is the capital of Assyria?",comedy
"What is the airspeed velocity of an unladen swallow?",comedy
"Who is John Cleese?",comedy
"how to make a list",tech
"what is a python function",tech
"what is numpy",tech
"snake habitats",biology
"are snakes reptiles",biology
"dead parrot sketch",comedy
"spanish inquisition sketch",comedy